Instruction Number,Instruction ,Number of Constraints,Constraints
21,"Write a story in less than 500 words about a man who, after a series of unfortunate events including physical injuries, a troubling family dynamic, and a failed suicide attempt, contemplates the grim ironies of his life, all unfolding with dark humor and sharp emotional shifts.",39,"1. The protagonist should start off his day by physically injuring himself multiple times.
2. The protagonist must visit a local store with his child.
3. There should be considerable use of dialogues in the narrative.
4. The protagonist should pen revealing, nasty letters to his family.
5. The protagonist should reconsider his decision to commit suicide at the last moment.
6. The protagonist should feel embarrassment after the failed suicide attempt.
7. The protagonist must lose his stash of marijuana in the skirmish.
8. The character must experience a setback while watching TV.
9. The story should depict quick changes in the protagonist's emotions.
10. The man should be unaware of a prank set up by his child.
11. The protagonist must decide to make a simple meal for himself.
12. In the store, the protagonist must display leniency towards his child and buy him something expensive.
13. The protagonist's child should have finished all the snacks.
14. An incident on television involving a sports player should ruin the protagonist's mood.
15. The protagonist should reach an emotional low point, even contemplating suicide.
16. The protagonist must experience a delay while checking out from the store.
17. The protagonist's condition post his suicide attempt should be bleak and immobile.

Stylistic constraints:
18. The protagonist's reaction to the news on television should be violent, leading to a fight among his pets.
19. The protagonist should decide to go ahead with the suicide after a selfish thought process.
20. The man is susceptible to hunger but finds out that there is no food.
21. The story should conclude on a note of grim irony.
22. The protagonist must resolve to step outside, ignoring pleas by his spouse.
23. The protagonist's suicide attempt should fail because of miscalculations, leaving him paralyzed.
24. The protagonist must make a stop at a drug dealer to get marijuana.
25. The protagonist must take a drastic action in anger against his child's misdeed.
26. The protagonist should have a fondness for specific kinds of snacks.
27. The story must be written in the third person.
28. Narration should include detailed descriptions of characters' thoughts and feelings.
29. While making the meal, the protagonist's preferences for specific condiments should be highlighted.
30. The protagonist, a man, should be having a bad day.
31. The language should be colorful and explicit.
32. The protagonist should be in desperate need of food.
33. The narrative style should include casual and colloquial language.
34. The protagonist's mood should improve markedly after the shopping experience.
35. The tone of the story should be darkly comic.
36. The child of the protagonist should be remorseful but late in trying to fix the misdeed.
37. The protagonist's reaction to the loss of his snack should be of anger and indignation.
38. The protagonist should attempt suicide in his backyard by hanging.
39. The protagonist must consume marijuana while preparing his meal."
22,"Write a story in less than 500 words about a professor whose structured university life, filled with personal routines and significant objects, is disrupted by an emotional incident, weaving together daily interactions and poignant memories.",7,"1. Certain objects in the office should have personal significance for the professor.
2. The receptionist should wear different shirts in a specific cycle.
3. The condition of snowglobe after falling should be detailed.
4. The professor should hurt his leg during the fall.
5. The professor should interact with the receptionist regularly.
6. The story should involve a university environment.
7. Create an emotional bond between the professor and his son through a treasured object."
22,"Write a story in less than 500 words about a professor whose structured university life, filled with personal routines and significant objects, is disrupted by an emotional incident, weaving together daily interactions and poignant memories.",15,"1. Certain objects in the office should have personal significance for the professor.
2. The receptionist should wear different shirts in a specific cycle.
3. The condition of snowglobe after falling should be detailed.
4. The professor should hurt his leg during the fall.
5. The professor should interact with the receptionist regularly.
6. The story should involve a university environment.
7. Create an emotional bond between the professor and his son through a treasured object.
8. The professors should have routine habits related to his office keys.
9. Central character should be a professor.
10. Use a predominantly third-person narrative throughout the story.
11. Introduce a cancer illness in the professor's family.
12. The story has to include a ceramic bowl, a gift from the professor's late mother-in-law.
13. Involve a favorite bakery shop of professor's son.
14. The professor should use a specific route to reach his office.
15. The professor should have a specific routine after entering the office, including sitting on his chair and pulling out his laptop."
22,"Write a story in less than 500 words about a professor whose structured university life, filled with personal routines and significant objects, is disrupted by an emotional incident, weaving together daily interactions and poignant memories.",23,"1. Certain objects in the office should have personal significance for the professor.
2. The receptionist should wear different shirts in a specific cycle.
3. The condition of snowglobe after falling should be detailed.
4. The professor should hurt his leg during the fall.
5. The professor should interact with the receptionist regularly.
6. The story should involve a university environment.
7. Create an emotional bond between the professor and his son through a treasured object.
8. The professors should have routine habits related to his office keys.
9. Central character should be a professor.
10. Use a predominantly third-person narrative throughout the story.
11. Introduce a cancer illness in the professor's family.
12. The story has to include a ceramic bowl, a gift from the professor's late mother-in-law.
13. Involve a favorite bakery shop of professor's son.
14. The professor should use a specific route to reach his office.
15. The professor should have a specific routine after entering the office, including sitting on his chair and pulling out his laptop.
16. The cleaning lady should have a unique working schedule.
17. The professor should have a similar method for unlocking his office door every day.
18. There should be an incident where the professor unfortunately damages the snowglobe.
19. The professor should have a snowglobe on his desk.
20. Include a character who's a receptionist.
21. The snowglobe should have specific attributes including diminishing water level and a stuck collection of fake snow.
22. The professor should be carrying a laptop in his bag.
23. Incorporate a memory related to the professor's son in the story."
22,"Write a story in less than 500 words about a professor whose structured university life, filled with personal routines and significant objects, is disrupted by an emotional incident, weaving together daily interactions and poignant memories.",31,"1. Certain objects in the office should have personal significance for the professor.
2. The receptionist should wear different shirts in a specific cycle.
3. The condition of snowglobe after falling should be detailed.
4. The professor should hurt his leg during the fall.
5. The professor should interact with the receptionist regularly.
6. The story should involve a university environment.
7. Create an emotional bond between the professor and his son through a treasured object.
8. The professors should have routine habits related to his office keys.
9. Central character should be a professor.
10. Use a predominantly third-person narrative throughout the story.
11. Introduce a cancer illness in the professor's family.
12. The story has to include a ceramic bowl, a gift from the professor's late mother-in-law.
13. Involve a favorite bakery shop of professor's son.
14. The professor should use a specific route to reach his office.
15. The professor should have a specific routine after entering the office, including sitting on his chair and pulling out his laptop.
16. The cleaning lady should have a unique working schedule.
17. The professor should have a similar method for unlocking his office door every day.
18. There should be an incident where the professor unfortunately damages the snowglobe.
19. The professor should have a snowglobe on his desk.
20. Include a character who's a receptionist.
21. The snowglobe should have specific attributes including diminishing water level and a stuck collection of fake snow.
22. The professor should be carrying a laptop in his bag.
23. Incorporate a memory related to the professor's son in the story.
24. The professor should come to work at the exact same time every day.
25. All shirts of the receptionist should have a tear at a specific spot.
26. The snowglobe should be a gift from his youngest son.
27. The professor's interaction with other characters should be regular and daily.
28. A stack of papers should be knocked down during the fall.
29. The ceramic bowl should hold keys to various locations.
30. Make the professor's memories and emotions central to the plot of the story.
31. The characters working at the bakery should not be well-remembered by the professor."
22,"Write a story in less than 500 words about a professor whose structured university life, filled with personal routines and significant objects, is disrupted by an emotional incident, weaving together daily interactions and poignant memories.",39,"1. Certain objects in the office should have personal significance for the professor.
2. The receptionist should wear different shirts in a specific cycle.
3. The condition of snowglobe after falling should be detailed.
4. The professor should hurt his leg during the fall.
5. The professor should interact with the receptionist regularly.
6. The story should involve a university environment.
7. Create an emotional bond between the professor and his son through a treasured object.
8. The professors should have routine habits related to his office keys.
9. Central character should be a professor.
10. Use a predominantly third-person narrative throughout the story.
11. Introduce a cancer illness in the professor's family.
12. The story has to include a ceramic bowl, a gift from the professor's late mother-in-law.
13. Involve a favorite bakery shop of professor's son.
14. The professor should use a specific route to reach his office.
15. The professor should have a specific routine after entering the office, including sitting on his chair and pulling out his laptop.
16. The cleaning lady should have a unique working schedule.
17. The professor should have a similar method for unlocking his office door every day.
18. There should be an incident where the professor unfortunately damages the snowglobe.
19. The professor should have a snowglobe on his desk.
20. Include a character who's a receptionist.
21. The snowglobe should have specific attributes including diminishing water level and a stuck collection of fake snow.
22. The professor should be carrying a laptop in his bag.
23. Incorporate a memory related to the professor's son in the story.
24. The professor should come to work at the exact same time every day.
25. All shirts of the receptionist should have a tear at a specific spot.
26. The snowglobe should be a gift from his youngest son.
27. The professor's interaction with other characters should be regular and daily.
28. A stack of papers should be knocked down during the fall.
29. The ceramic bowl should hold keys to various locations.
30. Make the professor's memories and emotions central to the plot of the story.
31. The characters working at the bakery should not be well-remembered by the professor.
32. The professor should have a particular method to clean his shoes outside his office.
33. Include a fall incident of the professor.
34. The professor's actions should largely be governed by his routines.
35. The professor should have a specific routine about placing and handling the snowglobe.
36. The professor should have a routine lifestyle.
37. The professor should try to recover the shed parts of the snowglobe.
38. Include a character who's a cleaning lady.
39. The professor should have a specific spot for dropping his bag."
23,"Write a story in less than 500 words about a young magician in Paris, who, inspired by the burgeoning art of film, devises a grand illusion to land a rocket on the moon, facing rivalry and technological challenges along the way.",7,"1. Characterize George as a stern man at the stand's corner.
2. As crowds begin to leave, the wizard should receive his promised reward.
3. Use dialogue to convey the plot at key moments.
4. Main character should be a young, aspiring magician.
5. Specify that the magician aims to supposedly land a rocket on the moon.
6. The wizard should be bored of his existing life.
7. Incorporate a projected image of a moving train that creates an illusion of danger."
23,"Write a story in less than 500 words about a young magician in Paris, who, inspired by the burgeoning art of film, devises a grand illusion to land a rocket on the moon, facing rivalry and technological challenges along the way.",15,"1. Characterize George as a stern man at the stand's corner.
2. As crowds begin to leave, the wizard should receive his promised reward.
3. Use dialogue to convey the plot at key moments.
4. Main character should be a young, aspiring magician.
5. Specify that the magician aims to supposedly land a rocket on the moon.
6. The wizard should be bored of his existing life.
7. Incorporate a projected image of a moving train that creates an illusion of danger.
8. Characterize the magician as knowledgeable about common magic tricks.
9. George should accuse the magician of stealing his idea.
10. Include the concept of a moving picture film introduced by George.
11. The rocket lift-off should be shown as a formidable feat.
12. The magician must promise something to both in return for their help.
13. Set the story in Paris.
14. The magician should be inspired by the idea of a film and aspire to use it for a trick.
15. The magician should have the idea to land a rocket on the moon."
23,"Write a story in less than 500 words about a young magician in Paris, who, inspired by the burgeoning art of film, devises a grand illusion to land a rocket on the moon, facing rivalry and technological challenges along the way.",23,"1. Characterize George as a stern man at the stand's corner.
2. As crowds begin to leave, the wizard should receive his promised reward.
3. Use dialogue to convey the plot at key moments.
4. Main character should be a young, aspiring magician.
5. Specify that the magician aims to supposedly land a rocket on the moon.
6. The wizard should be bored of his existing life.
7. Incorporate a projected image of a moving train that creates an illusion of danger.
8. Characterize the magician as knowledgeable about common magic tricks.
9. George should accuse the magician of stealing his idea.
10. Include the concept of a moving picture film introduced by George.
11. The rocket lift-off should be shown as a formidable feat.
12. The magician must promise something to both in return for their help.
13. Set the story in Paris.
14. The magician should be inspired by the idea of a film and aspire to use it for a trick.
15. The magician should have the idea to land a rocket on the moon.
16. Use first-person narration.
17. Use a descriptive style to add detail to the setting and characters.
18. The device should point towards an empty wall.
19. Introduce George again, this time as an angry person.
20. The tone of the story should be mythical yet grounded.
21. Include a scene where the magician feels clueless about a unique trick to perform.
22. The protagonist's desire to etch his name in history should remain consistent in the story.
23. Introduce a strange, camera-like device in the story."
23,"Write a story in less than 500 words about a young magician in Paris, who, inspired by the burgeoning art of film, devises a grand illusion to land a rocket on the moon, facing rivalry and technological challenges along the way.",31,"1. Characterize George as a stern man at the stand's corner.
2. As crowds begin to leave, the wizard should receive his promised reward.
3. Use dialogue to convey the plot at key moments.
4. Main character should be a young, aspiring magician.
5. Specify that the magician aims to supposedly land a rocket on the moon.
6. The wizard should be bored of his existing life.
7. Incorporate a projected image of a moving train that creates an illusion of danger.
8. Characterize the magician as knowledgeable about common magic tricks.
9. George should accuse the magician of stealing his idea.
10. Include the concept of a moving picture film introduced by George.
11. The rocket lift-off should be shown as a formidable feat.
12. The magician must promise something to both in return for their help.
13. Set the story in Paris.
14. The magician should be inspired by the idea of a film and aspire to use it for a trick.
15. The magician should have the idea to land a rocket on the moon.
16. Use first-person narration.
17. Use a descriptive style to add detail to the setting and characters.
18. The device should point towards an empty wall.
19. Introduce George again, this time as an angry person.
20. The tone of the story should be mythical yet grounded.
21. Include a scene where the magician feels clueless about a unique trick to perform.
22. The protagonist's desire to etch his name in history should remain consistent in the story.
23. Introduce a strange, camera-like device in the story.
24. Refer to famous magicians and their tricks that have already been done.
25. The main character should be ambitious.
26. Large crowd gathers on the D-day.
27. The magician should show interest in the machine.
28. Create a sense of suspense around the magician’s feat.
29. The style of the story should reflect old-age Paris.
30. The story should portray the magician's journey from struggle to success.
31. At some point in the plot, the magician must come across a stall at a fair."
23,"Write a story in less than 500 words about a young magician in Paris, who, inspired by the burgeoning art of film, devises a grand illusion to land a rocket on the moon, facing rivalry and technological challenges along the way.",39,"1. Characterize George as a stern man at the stand's corner.
2. As crowds begin to leave, the wizard should receive his promised reward.
3. Use dialogue to convey the plot at key moments.
4. Main character should be a young, aspiring magician.
5. Specify that the magician aims to supposedly land a rocket on the moon.
6. The wizard should be bored of his existing life.
7. Incorporate a projected image of a moving train that creates an illusion of danger.
8. Characterize the magician as knowledgeable about common magic tricks.
9. George should accuse the magician of stealing his idea.
10. Include the concept of a moving picture film introduced by George.
11. The rocket lift-off should be shown as a formidable feat.
12. The magician must promise something to both in return for their help.
13. Set the story in Paris.
14. The magician should be inspired by the idea of a film and aspire to use it for a trick.
15. The magician should have the idea to land a rocket on the moon.
16. Use first-person narration.
17. Use a descriptive style to add detail to the setting and characters.
18. The device should point towards an empty wall.
19. Introduce George again, this time as an angry person.
20. The tone of the story should be mythical yet grounded.
21. Include a scene where the magician feels clueless about a unique trick to perform.
22. The protagonist's desire to etch his name in history should remain consistent in the story.
23. Introduce a strange, camera-like device in the story.
24. Refer to famous magicians and their tricks that have already been done.
25. The main character should be ambitious.
26. Large crowd gathers on the D-day.
27. The magician should show interest in the machine.
28. Create a sense of suspense around the magician’s feat.
29. The style of the story should reflect old-age Paris.
30. The story should portray the magician's journey from struggle to success.
31. At some point in the plot, the magician must come across a stall at a fair.
32. Showcase a feeling of despair as all good tricks have already been taken.
33. The public should applaud the magician after the rocket disappears.
34. Let George reveal that the machine is a film projector.
35. At least one person in the crowd should be angry.
36. Central character must dream of becoming a great magician.
37. The magician should lack resources to fulfill his idea.
38. Include conversation between the magician and George.
39. The magician should seek help from a wizard and a rich man."
24,"Write a story in less than 500 words from the first-person perspective about a protagonist who, on the brink of suicide, gets a second chance to relive and reshape past regrets with a lost love, experiencing both hope and recurring tensions.",7,"1. The protagonist jumps off the ledge.
2. Reflect about the common regret of suicide survivors wanting to ""fly"".
3. Protagonist tries to be a perfect boyfriend this time around.
4. The protagonist must not die in the end.
5. Transition from a dark mood to a hopeful tone to tension again.
6. The protagonist prepares for the impact of the ground.
7. Write the story from a first-person point of view."
24,"Write a story in less than 500 words from the first-person perspective about a protagonist who, on the brink of suicide, gets a second chance to relive and reshape past regrets with a lost love, experiencing both hope and recurring tensions.",15,"1. The protagonist jumps off the ledge.
2. Reflect about the common regret of suicide survivors wanting to ""fly"".
3. Protagonist tries to be a perfect boyfriend this time around.
4. The protagonist must not die in the end.
5. Transition from a dark mood to a hopeful tone to tension again.
6. The protagonist prepares for the impact of the ground.
7. Write the story from a first-person point of view.
8. Explicitly mention that the protagonist is regretting a past romantic relationship with a woman.
9. Protagonist wakes up in his room after the fall.
10. Reliving an important day climbing the tallest mountain of a national park.
11. Keep the language simple and conversational.
12. The protagonist contemplates his impending actions during the drive.
13. Make the protagonist contemplate suicide again.
14. The setting is the ledge of a tall building.
15. He asks her out later, breaking from his past actions."
24,"Write a story in less than 500 words from the first-person perspective about a protagonist who, on the brink of suicide, gets a second chance to relive and reshape past regrets with a lost love, experiencing both hope and recurring tensions.",23,"1. The protagonist jumps off the ledge.
2. Reflect about the common regret of suicide survivors wanting to ""fly"".
3. Protagonist tries to be a perfect boyfriend this time around.
4. The protagonist must not die in the end.
5. Transition from a dark mood to a hopeful tone to tension again.
6. The protagonist prepares for the impact of the ground.
7. Write the story from a first-person point of view.
8. Explicitly mention that the protagonist is regretting a past romantic relationship with a woman.
9. Protagonist wakes up in his room after the fall.
10. Reliving an important day climbing the tallest mountain of a national park.
11. Keep the language simple and conversational.
12. The protagonist contemplates his impending actions during the drive.
13. Make the protagonist contemplate suicide again.
14. The setting is the ledge of a tall building.
15. He asks her out later, breaking from his past actions.
16. Incorporate a sense of nostalgia when the protagonist looks back on his relationship.
17. The protagonist is contemplating suicide.
18. Protagonist finds himself to be younger.
19. She arrives at the protagonist's place around 1:
20. Recall past adventures with ""her.""
21. Constraints about past regrets concerning a romantic relationship.
22. The protagonist kisses her this time.
23. Protagonist starts his day excited about the chance to relive his life."
24,"Write a story in less than 500 words from the first-person perspective about a protagonist who, on the brink of suicide, gets a second chance to relive and reshape past regrets with a lost love, experiencing both hope and recurring tensions.",31,"1. The protagonist jumps off the ledge.
2. Reflect about the common regret of suicide survivors wanting to ""fly"".
3. Protagonist tries to be a perfect boyfriend this time around.
4. The protagonist must not die in the end.
5. Transition from a dark mood to a hopeful tone to tension again.
6. The protagonist prepares for the impact of the ground.
7. Write the story from a first-person point of view.
8. Explicitly mention that the protagonist is regretting a past romantic relationship with a woman.
9. Protagonist wakes up in his room after the fall.
10. Reliving an important day climbing the tallest mountain of a national park.
11. Keep the language simple and conversational.
12. The protagonist contemplates his impending actions during the drive.
13. Make the protagonist contemplate suicide again.
14. The setting is the ledge of a tall building.
15. He asks her out later, breaking from his past actions.
16. Incorporate a sense of nostalgia when the protagonist looks back on his relationship.
17. The protagonist is contemplating suicide.
18. Protagonist finds himself to be younger.
19. She arrives at the protagonist's place around 1:
20. Recall past adventures with ""her.""
21. Constraints about past regrets concerning a romantic relationship.
22. The protagonist kisses her this time.
23. Protagonist starts his day excited about the chance to relive his life.
24. She says yes to his proposal, unlike the first time.
25. The protagonist drives to the tall building.
26. Introduce an unexpected shift where the protagonist doesn't die.
27. She expresses dissatisfaction with the intimate component of the relationship.
28. Protagonist receives a text from ""her.""
29. Include introspective dialogue intermittently.
30. Protagonist decides to change something from their past at the top of the mountain.
31. Gradually introduce the idea about things going south again."
24,"Write a story in less than 500 words from the first-person perspective about a protagonist who, on the brink of suicide, gets a second chance to relive and reshape past regrets with a lost love, experiencing both hope and recurring tensions.",39,"1. The protagonist jumps off the ledge.
2. Reflect about the common regret of suicide survivors wanting to ""fly"".
3. Protagonist tries to be a perfect boyfriend this time around.
4. The protagonist must not die in the end.
5. Transition from a dark mood to a hopeful tone to tension again.
6. The protagonist prepares for the impact of the ground.
7. Write the story from a first-person point of view.
8. Explicitly mention that the protagonist is regretting a past romantic relationship with a woman.
9. Protagonist wakes up in his room after the fall.
10. Reliving an important day climbing the tallest mountain of a national park.
11. Keep the language simple and conversational.
12. The protagonist contemplates his impending actions during the drive.
13. Make the protagonist contemplate suicide again.
14. The setting is the ledge of a tall building.
15. He asks her out later, breaking from his past actions.
16. Incorporate a sense of nostalgia when the protagonist looks back on his relationship.
17. The protagonist is contemplating suicide.
18. Protagonist finds himself to be younger.
19. She arrives at the protagonist's place around 1:
20. Recall past adventures with ""her.""
21. Constraints about past regrets concerning a romantic relationship.
22. The protagonist kisses her this time.
23. Protagonist starts his day excited about the chance to relive his life.
24. She says yes to his proposal, unlike the first time.
25. The protagonist drives to the tall building.
26. Introduce an unexpected shift where the protagonist doesn't die.
27. She expresses dissatisfaction with the intimate component of the relationship.
28. Protagonist receives a text from ""her.""
29. Include introspective dialogue intermittently.
30. Protagonist decides to change something from their past at the top of the mountain.
31. Gradually introduce the idea about things going south again.
32. Express the protagonist's regret to take back actions before he met her.
33. The protagonist feels warmth instead of pain after the fall.
34. She starts to grow distant despite his effort.
35. Make the second attempt a happier experience overall.
36. Introduce the idea of being given a second chance.
37. The protagonist prays during his fall.
38. She picks up the protagonist in her car.
39. They enjoy various activities together including dinners, movies, plays, and museums."
25,"Write a story in less than 500 words about a protagonist discovering his younger brother can summon demons without sacrifices, exploring the mysteries and tensions of this unusual power within their familiar home setting.",7,"1. The protagonist feels fearful upon seeing two high-class demons in his brother's room.
2. The protagonist expresses disbelief upon hearing that the demons appeared without the need for a sacrifice.
3. Multiple demons must be seen organizing the younger brother's room.
4. The protagonist cautiously steps into the room and immediately draws the attention of the demons.
5. The dialogue between protagonist and younger brother must be intermittent between observational paragraphs.
6. The story must capture tension and curiosity from the protagonist's perspective.
7. The summoning process experienced by the younger brother is inexplicably different from traditional summoning; demons appear to him voluntarily."
25,"Write a story in less than 500 words about a protagonist discovering his younger brother can summon demons without sacrifices, exploring the mysteries and tensions of this unusual power within their familiar home setting.",15,"1. The protagonist feels fearful upon seeing two high-class demons in his brother's room.
2. The protagonist expresses disbelief upon hearing that the demons appeared without the need for a sacrifice.
3. Multiple demons must be seen organizing the younger brother's room.
4. The protagonist cautiously steps into the room and immediately draws the attention of the demons.
5. The dialogue between protagonist and younger brother must be intermittent between observational paragraphs.
6. The story must capture tension and curiosity from the protagonist's perspective.
7. The summoning process experienced by the younger brother is inexplicably different from traditional summoning; demons appear to him voluntarily.
8. The story involves the protagonist observing an unusual scene in his younger brother's room.
9. The mystery deepens when the younger brother mentions that the demons told him not to worry about the sacrifices ""yet"".
10. Demons must display loyalty towards the younger brother.
11. The story must utilize mythical cues and elements.
12. The final twist should leave the protagonist awestruck and speechless.
13. The younger brother's single statement defuses the tense situation.
14. The protagonist asks questions about how the younger brother managed to summon and control the demons.
15. Use of foreshadowing technique to heighten suspense."
25,"Write a story in less than 500 words about a protagonist discovering his younger brother can summon demons without sacrifices, exploring the mysteries and tensions of this unusual power within their familiar home setting.",23,"1. The protagonist feels fearful upon seeing two high-class demons in his brother's room.
2. The protagonist expresses disbelief upon hearing that the demons appeared without the need for a sacrifice.
3. Multiple demons must be seen organizing the younger brother's room.
4. The protagonist cautiously steps into the room and immediately draws the attention of the demons.
5. The dialogue between protagonist and younger brother must be intermittent between observational paragraphs.
6. The story must capture tension and curiosity from the protagonist's perspective.
7. The summoning process experienced by the younger brother is inexplicably different from traditional summoning; demons appear to him voluntarily.
8. The story involves the protagonist observing an unusual scene in his younger brother's room.
9. The mystery deepens when the younger brother mentions that the demons told him not to worry about the sacrifices ""yet"".
10. Demons must display loyalty towards the younger brother.
11. The story must utilize mythical cues and elements.
12. The final twist should leave the protagonist awestruck and speechless.
13. The younger brother's single statement defuses the tense situation.
14. The protagonist asks questions about how the younger brother managed to summon and control the demons.
15. Use of foreshadowing technique to heighten suspense.
16. The protagonist expresses shock and awe upon realizing the number of demons under his brother’s control.
17. The protagonist is established as being knowledgeable about demon summoning.
18. The story must conclude with an indication that the younger brother can summon demons freely until an unidentified future timestamp.

Stylistic Constraints:
19. The language must contain a mix of easy-to-understand explanations and complex mythologies.
20. The exchanges between the younger brother and the demons must portray an employer-employee relationship.
21. The younger brother sees the protagonist's astonishment and uses it to gloat.
22. The language used should be descriptive.
23. The younger brother shows no concern about the demons' presence and carries on with his regular activities."
25,"Write a story in less than 500 words about a protagonist discovering his younger brother can summon demons without sacrifices, exploring the mysteries and tensions of this unusual power within their familiar home setting.",31,"1. The protagonist feels fearful upon seeing two high-class demons in his brother's room.
2. The protagonist expresses disbelief upon hearing that the demons appeared without the need for a sacrifice.
3. Multiple demons must be seen organizing the younger brother's room.
4. The protagonist cautiously steps into the room and immediately draws the attention of the demons.
5. The dialogue between protagonist and younger brother must be intermittent between observational paragraphs.
6. The story must capture tension and curiosity from the protagonist's perspective.
7. The summoning process experienced by the younger brother is inexplicably different from traditional summoning; demons appear to him voluntarily.
8. The story involves the protagonist observing an unusual scene in his younger brother's room.
9. The mystery deepens when the younger brother mentions that the demons told him not to worry about the sacrifices ""yet"".
10. Demons must display loyalty towards the younger brother.
11. The story must utilize mythical cues and elements.
12. The final twist should leave the protagonist awestruck and speechless.
13. The younger brother's single statement defuses the tense situation.
14. The protagonist asks questions about how the younger brother managed to summon and control the demons.
15. Use of foreshadowing technique to heighten suspense.
16. The protagonist expresses shock and awe upon realizing the number of demons under his brother’s control.
17. The protagonist is established as being knowledgeable about demon summoning.
18. The story must conclude with an indication that the younger brother can summon demons freely until an unidentified future timestamp.

Stylistic Constraints:
19. The language must contain a mix of easy-to-understand explanations and complex mythologies.
20. The exchanges between the younger brother and the demons must portray an employer-employee relationship.
21. The younger brother sees the protagonist's astonishment and uses it to gloat.
22. The language used should be descriptive.
23. The younger brother shows no concern about the demons' presence and carries on with his regular activities.
24. The story must communicate the complex process required to summon demons, including substantial research and sacrifice.
25. The story must explain the benefits that the younger brother reaps from having the demons around.
26. Use hyperbolic comparisons to emphasize the protagonist's surprise.
27. The younger brother's dialogues should imply a sense of nonchalance.
28. The use of metaphoric language to encapsulate the protagonist’s fear.
29. Implement a call-and-response dialogue style, where the protagonist voices concerns or fears and the brother dismisses or deflects.
30. Describe the physical environment richly, emphasizing the effects of the presence of the demons.
31. Present the protagonist’s internal monologue for a direct connection with the reader’s thoughts."
25,"Write a story in less than 500 words about a protagonist discovering his younger brother can summon demons without sacrifices, exploring the mysteries and tensions of this unusual power within their familiar home setting.",39,"1. The protagonist feels fearful upon seeing two high-class demons in his brother's room.
2. The protagonist expresses disbelief upon hearing that the demons appeared without the need for a sacrifice.
3. Multiple demons must be seen organizing the younger brother's room.
4. The protagonist cautiously steps into the room and immediately draws the attention of the demons.
5. The dialogue between protagonist and younger brother must be intermittent between observational paragraphs.
6. The story must capture tension and curiosity from the protagonist's perspective.
7. The summoning process experienced by the younger brother is inexplicably different from traditional summoning; demons appear to him voluntarily.
8. The story involves the protagonist observing an unusual scene in his younger brother's room.
9. The mystery deepens when the younger brother mentions that the demons told him not to worry about the sacrifices ""yet"".
10. Demons must display loyalty towards the younger brother.
11. The story must utilize mythical cues and elements.
12. The final twist should leave the protagonist awestruck and speechless.
13. The younger brother's single statement defuses the tense situation.
14. The protagonist asks questions about how the younger brother managed to summon and control the demons.
15. Use of foreshadowing technique to heighten suspense.
16. The protagonist expresses shock and awe upon realizing the number of demons under his brother’s control.
17. The protagonist is established as being knowledgeable about demon summoning.
18. The story must conclude with an indication that the younger brother can summon demons freely until an unidentified future timestamp.

Stylistic Constraints:
19. The language must contain a mix of easy-to-understand explanations and complex mythologies.
20. The exchanges between the younger brother and the demons must portray an employer-employee relationship.
21. The younger brother sees the protagonist's astonishment and uses it to gloat.
22. The language used should be descriptive.
23. The younger brother shows no concern about the demons' presence and carries on with his regular activities.
24. The story must communicate the complex process required to summon demons, including substantial research and sacrifice.
25. The story must explain the benefits that the younger brother reaps from having the demons around.
26. Use hyperbolic comparisons to emphasize the protagonist's surprise.
27. The younger brother's dialogues should imply a sense of nonchalance.
28. The use of metaphoric language to encapsulate the protagonist’s fear.
29. Implement a call-and-response dialogue style, where the protagonist voices concerns or fears and the brother dismisses or deflects.
30. Describe the physical environment richly, emphasizing the effects of the presence of the demons.
31. Present the protagonist’s internal monologue for a direct connection with the reader’s thoughts.
32. The prose should include moments of silence and pause to enhance suspense.
33. The story must start with a direct dialogue.
34. The size and complexity of the required sacrifice must increase with the size/capacity of the summoned demon.
35. The pace should quicken in suspenseful moments and slow down during explanations.
36. The protagonist should self-referentially admit his own insecurities or inadequacies.
37. Story narration should shift from calm and neutral to tense and suspenseful.
38. The tone must be of surprise, intrigue, and growing unease.
39. The story's setting is a familiar one (younger brother's room) turned into an extraordinary scene."
26,"Write a story in less than 500 words about a protagonist navigating a bizarre, weightless world filled with anthropomorphic mice and mysterious environments, all perceived through the haze of hallucinations, questioning the boundaries of reality.",7,"1. Protagonist is in a weightless environment.
2. Protagonist hears high-pitched voices.
3. Protagonist was offered biscuits by the mice.
4. Protagonist finds a wooden door inside the creature.
5. Protagonist sees an abyss filled with plastic chairs.
6. The protagonist claims not to remember committing a crime.
7. Protagonist ends his interaction with the mice on a polite note."
26,"Write a story in less than 500 words about a protagonist navigating a bizarre, weightless world filled with anthropomorphic mice and mysterious environments, all perceived through the haze of hallucinations, questioning the boundaries of reality.",15,"1. Protagonist is in a weightless environment.
2. Protagonist hears high-pitched voices.
3. Protagonist was offered biscuits by the mice.
4. Protagonist finds a wooden door inside the creature.
5. Protagonist sees an abyss filled with plastic chairs.
6. The protagonist claims not to remember committing a crime.
7. Protagonist ends his interaction with the mice on a polite note.
8. The high-pitched squeal is the creature's way of communicating.
9. Protagonist sees a dim circle of light below him.
10. The story revolves around the protagonist's hallucinations.
11. The protagonist remains a passive observer in the bizarre world.
12. A snakelike creature approaches the protagonist.
13. Protagonist enters a house after opening the wooden door.
14. The protagonist expresses gratitude to the mice for the cake.
15. Protagonist explores the strange world with a calm demeanor."
